tau,date,from_asset,to_asset,traded_weight,cost
0.005,2016-04-20,159915.SZ,513100.SH,2.0,0.0002
0.005,2016-05-03,513100.SH,518880.SH,2.0,0.0002
0.005,2016-05-30,518880.SH,513100.SH,2.0,0.0002
0.005,2016-06-07,513100.SH,159915.SZ,2.0,0.0002
0.005,2016-06-17,159915.SZ,518880.SH,2.0,0.0002
0.005,2016-07-13,518880.SH,510300.SH,2.0,0.0002
0.005,2016-07-20,510300.SH,159915.SZ,2.0,0.0002
0.005,2016-07-27,159915.SZ,513100.SH,2.0,0.0002
0.005,2016-08-29,513100.SH,510300.SH,2.0,0.0002
0.005,2016-09-09,510300.SH,159915.SZ,2.0,0.0002
0.005,2016-09-26,159915.SZ,513100.SH,2.0,0.0002
0.005,2016-10-25,513100.SH,510300.SH,2.0,0.0002
0.005,2016-11-10,510300.SH,518880.SH,2.0,0.0002
0.005,2016-11-17,518880.SH,510300.SH,2.0,0.0002
0.005,2016-12-08,510300.SH,513100.SH,2.0,0.0002
0.005,2017-01-17,513100.SH,518880.SH,2.0,0.0002
0.005,2017-02-07,518880.SH,513100.SH,2.0,0.0002
0.005,2017-04-06,513100.SH,510300.SH,2.0,0.0002
0.005,2017-04-13,510300.SH,518880.SH,2.0,0.0002
0.005,2017-04-27,518880.SH,513100.SH,2.0,0.0002
0.005,2017-06-08,513100.SH,510300.SH,2.0,0.0002
0.005,2017-07-28,510300.SH,513100.SH,2.0,0.0002
0.005,2017-08-11,513100.SH,518880.SH,2.0,0.0002
0.005,2017-08-18,518880.SH,159915.SZ,2.0,0.0002
0.005,2017-09-14,159915.SZ,510300.SH,2.0,0.0002
0.005,2017-09-21,510300.SH,159915.SZ,2.0,0.0002
0.005,2017-10-12,159915.SZ,513100.SH,2.0,0.0002
0.005,2017-10-25,513100.SH,510300.SH,2.0,0.0002
0.005,2017-11-01,510300.SH,513100.SH,2.0,0.0002
0.005,2017-11-14,513100.SH,510300.SH,2.0,0.0002
0.005,2017-11-24,510300.SH,513100.SH,2.0,0.0002
0.005,2018-01-09,513100.SH,518880.SH,2.0,0.0002
0.005,2018-01-16,518880.SH,510300.SH,2.0,0.0002
0.005,2018-01-31,510300.SH,513100.SH,2.0,0.0002
0.005,2018-02-07,513100.SH,518880.SH,2.0,0.0002
0.005,2018-03-01,518880.SH,513100.SH,2.0,0.0002
0.005,2018-03-09,513100.SH,159915.SZ,2.0,0.0002
0.005,2018-04-20,159915.SZ,518880.SH,2.0,0.0002
0.005,2018-05-08,518880.SH,513100.SH,2.0,0.0002
0.005,2018-09-17,513100.SH,518880.SH,2.0,0.0002
0.005,2018-11-12,518880.SH,159915.SZ,2.0,0.0002
0.005,2018-12-11,159915.SZ,518880.SH,2.0,0.0002
0.005,2019-01-22,518880.SH,513100.SH,2.0,0.0002
0.005,2019-02-13,513100.SH,510300.SH,2.0,0.0002
0.005,2019-02-20,510300.SH,159915.SZ,2.0,0.0002
0.005,2019-04-03,159915.SZ,513100.SH,2.0,0.0002
0.005,2019-04-11,513100.SH,510300.SH,2.0,0.0002
0.005,2019-04-24,510300.SH,513100.SH,2.0,0.0002
0.005,2019-05-17,513100.SH,518880.SH,2.0,0.0002
0.005,2019-07-02,518880.SH,510300.SH,2.0,0.0002
0.005,2019-07-10,510300.SH,518880.SH,2.0,0.0002
0.005,2019-07-17,518880.SH,513100.SH,2.0,0.0002
0.005,2019-08-06,513100.SH,518880.SH,2.0,0.0002
0.005,2019-09-03,518880.SH,159915.SZ,2.0,0.0002
0.005,2019-10-16,159915.SZ,513100.SH,2.0,0.0002
0.005,2019-12-16,513100.SH,159915.SZ,2.0,0.0002
0.005,2020-01-06,159915.SZ,513100.SH,2.0,0.0002
0.005,2020-01-21,513100.SH,159915.SZ,2.0,0.0002
0.005,2020-02-06,159915.SZ,513100.SH,2.0,0.0002
0.005,2020-02-21,513100.SH,159915.SZ,2.0,0.0002
0.005,2020-02-28,159915.SZ,518880.SH,2.0,0.0002
0.005,2020-03-06,518880.SH,510300.SH,2.0,0.0002
0.005,2020-03-13,510300.SH,518880.SH,2.0,0.0002
0.005,2020-04-23,518880.SH,159915.SZ,2.0,0.0002
0.005,2020-04-30,159915.SZ,513100.SH,2.0,0.0002
0.005,2020-06-01,513100.SH,518880.SH,2.0,0.0002
0.005,2020-06-10,518880.SH,513100.SH,2.0,0.0002
0.005,2020-06-17,513100.SH,159915.SZ,2.0,0.0002
0.005,2020-07-28,159915.SZ,518880.SH,2.0,0.0002
0.005,2020-08-14,518880.SH,513100.SH,2.0,0.0002
0.005,2020-09-29,513100.SH,510300.SH,2.0,0.0002
0.005,2020-10-16,510300.SH,159915.SZ,2.0,0.0002
0.005,2020-11-09,159915.SZ,510300.SH,2.0,0.0002
0.005,2020-12-16,510300.SH,159915.SZ,2.0,0.0002
0.005,2020-12-30,159915.SZ,518880.SH,2.0,0.0002
0.005,2021-01-07,518880.SH,159915.SZ,2.0,0.0002
0.005,2021-01-14,159915.SZ,510300.SH,2.0,0.0002
0.005,2021-01-21,510300.SH,159915.SZ,2.0,0.0002
0.005,2021-02-04,159915.SZ,513100.SH,2.0,0.0002
0.005,2021-03-22,513100.SH,518880.SH,2.0,0.0002
0.005,2021-04-02,518880.SH,513100.SH,2.0,0.0002
0.005,2021-04-22,513100.SH,159915.SZ,2.0,0.0002
0.005,2021-05-10,159915.SZ,518880.SH,2.0,0.0002
0.005,2021-05-17,518880.SH,159915.SZ,2.0,0.0002
0.005,2021-05-27,159915.SZ,518880.SH,2.0,0.0002
0.005,2021-06-04,518880.SH,159915.SZ,2.0,0.0002
0.005,2021-06-17,159915.SZ,513100.SH,2.0,0.0002
0.005,2021-09-07,513100.SH,518880.SH,2.0,0.0002
0.005,2021-09-17,518880.SH,513100.SH,2.0,0.0002
0.005,2021-09-30,513100.SH,510300.SH,2.0,0.0002
0.005,2021-10-21,510300.SH,159915.SZ,2.0,0.0002
0.005,2021-11-03,159915.SZ,513100.SH,2.0,0.0002
0.005,2021-11-30,513100.SH,159915.SZ,2.0,0.0002
0.005,2021-12-09,159915.SZ,510300.SH,2.0,0.0002
0.005,2022-01-05,510300.SH,513100.SH,2.0,0.0002
0.005,2022-01-12,513100.SH,518880.SH,2.0,0.0002
0.005,2022-03-24,518880.SH,513100.SH,2.0,0.0002
0.005,2022-04-18,513100.SH,518880.SH,2.0,0.0002
0.005,2022-05-27,518880.SH,159915.SZ,2.0,0.0002
0.005,2022-07-19,159915.SZ,513100.SH,2.0,0.0002
0.005,2022-09-02,513100.SH,518880.SH,2.0,0.0002
0.005,2022-11-07,518880.SH,159915.SZ,2.0,0.0002
0.005,2022-11-14,159915.SZ,518880.SH,2.0,0.0002
0.005,2022-11-28,518880.SH,510300.SH,2.0,0.0002
0.005,2022-12-05,510300.SH,518880.SH,2.0,0.0002
0.005,2022-12-12,518880.SH,510300.SH,2.0,0.0002
0.005,2023-01-05,510300.SH,518880.SH,2.0,0.0002
