date,arm,510300.SH,159915.SZ,513100.SH,518880.SH
2025-03-10,A3,0.0,1.0,0.0,0.0
2025-03-17,A3,1.0,0.0,0.0,0.0
2025-03-24,A3,0.0,0.0,0.0,1.0
2025-05-14,A3,0.0,0.0,1.0,0.0
2025-06-19,A3,0.0,0.0,0.0,1.0
2025-06-26,A3,0.0,1.0,0.0,0.0
2025-10-13,A3,0.0,0.0,0.0,1.0
2025-10-29,A3,0.0,0.0,1.0,0.0
2025-11-19,A3,0.0,1.0,0.0,0.0
2025-11-26,A3,0.0,0.0,0.0,1.0
2025-12-31,A3,0.0,1.0,0.0,0.0
2026-01-14,A3,0.0,0.0,0.0,1.0
2026-03-20,A3,0.0,1.0,0.0,0.0
2026-04-13,A3,0.0,0.0,1.0,0.0
2026-04-20,A3,0.0,1.0,0.0,0.0
2026-04-28,A3,0.0,0.0,1.0,0.0
2026-05-13,A3,0.0,1.0,0.0,0.0
2026-05-20,A3,0.0,0.0,1.0,0.0
2014-01-08,A2,0.0,1.0,0.0,0.0
2014-02-27,A2,0.0,0.0,0.0,1.0
2014-04-02,A2,1.0,0.0,0.0,0.0
2014-05-05,A2,0.0,0.0,0.0,1.0
2014-05-15,A2,0.0,0.0,1.0,0.0
2014-06-17,A2,0.0,1.0,0.0,0.0
2014-07-04,A2,0.0,0.0,0.0,1.0
2014-07-16,A2,0.0,0.0,1.0,0.0
2014-07-28,A2,1.0,0.0,0.0,0.0
2014-08-21,A2,0.0,1.0,0.0,0.0
2014-10-28,A2,0.0,0.0,0.0,1.0
2014-11-04,A2,1.0,0.0,0.0,0.0
2014-11-11,A2,0.0,0.0,1.0,0.0
2014-11-25,A2,1.0,0.0,0.0,0.0
2015-01-22,A2,0.0,0.0,0.0,1.0
2015-01-29,A2,0.0,1.0,0.0,0.0
2015-04-17,A2,1.0,0.0,0.0,0.0
2015-05-07,A2,0.0,1.0,0.0,0.0
2015-06-24,A2,1.0,0.0,0.0,0.0
2015-07-01,A2,0.0,0.0,1.0,0.0
2015-08-24,A2,0.0,0.0,0.0,1.0
2015-09-24,A2,0.0,0.0,1.0,0.0
2015-10-08,A2,0.0,1.0,0.0,0.0
2015-12-08,A2,0.0,0.0,1.0,0.0
2015-12-23,A2,0.0,0.0,0.0,1.0
2015-12-30,A2,1.0,0.0,0.0,0.0
2016-01-07,A2,0.0,0.0,0.0,1.0
2016-03-22,A2,0.0,0.0,1.0,0.0
2016-03-29,A2,1.0,0.0,0.0,0.0
2016-04-06,A2,0.0,1.0,0.0,0.0
2016-04-22,A2,0.0,0.0,1.0,0.0
2016-04-29,A2,0.0,0.0,0.0,1.0
